id,ril_code,seed_weight,seed_size,seed_length,seed_circularity,seed_yield,fresh_gmax,fresh_t50,fresh_u7525,fresh_auc,strat_gmax,strat_t50,strat_u7525,strat_auc,35C_gmax,35C_t50,35C_u7525,35C_auc,nacl5_gmax,nacl5_t50,nacl5_u7525,nacl5_auc,36C_gmax,36C_t50,36C_u7525,36C_auc,36C_25C_gmax,36C_ga_gmax,36C_dead_gmax,peg5_gmax,peg5_t50,peg5_u7525,peg5_auc,12C_gmax,12C_t50,12C_u7525,12C_auc,h2o2_gmax,h2o2_t50,h2o2_u7525,h2o2_auc,peg3_gmax,peg3_t50,peg3_u7525,peg3_auc,nacl3_gmax,nacl3_t50,nacl3_u7525,nacl3_auc,fresh_shoot,dry_shoot,fresh_root,dry_root,hypocotyl_length
261,53,1.688163871,3.587985469,2.979316473,0.750282466,4810,0.962962963,84.36646271,24.44498634,108.7734909,0.948888889,68.46512604,20.40714645,46.94952774,0.427669587,171.2757111,110.2637711,29.2142067,0.585185185,149.3841095,55.35837936,28.66786003,0.081481481,41.38289261,10.08230495,32.97041702,0.003703704,0.8,0.063703704,0.607407407,176.1583099,51.1321373,17.55391312,0.896296296,410.5272217,96.74343109,4.801222324,0.748148148,190.1458282,62.86213303,16.18704796,0.492592593,157.2073669,65.09324646,22.11917305,0.855555556,115.3882523,25.08525848,69.7272644,27.72,2.46,12.82,1.51,2.05
262,54,1.319039548,3.537695459,2.884811878,0.745283455,1652.5,0.977777778,99.66486359,37.16805649,93.73635864,0.992592593,84.12329102,31.09243774,35.02427292,0.967999097,115.8057327,38.38203812,77.50235748,0.677777778,202.9068451,64.26226044,15.35896301,0.875,139.5596161,53.18619919,51.16963196,0.108333333,0,0.009259259,0.666666667,207.6587677,16.38307953,2.302704811,0.966666667,363.3137207,77.54759979,7.554454327,0.375,256.177002,105.0489502,4.651516438,0.241666667,130.5346832,34.77428436,0.610646665,0.911111111,119.3111877,36.72574234,70.77884674,23.73,1.92,10.54,0.87,2.37
263,55,1.478292276,3.478602195,2.856564999,0.764508963,6472,0.992753623,39.68776321,9.084841728,158.1876678,0.988888889,40.5867424,10.3693943,77.36778259,0.977777778,48.04150772,16.12998581,146.3058777,0.992592593,102.9246826,23.37584114,94.2024765,0.319276094,57.64068604,18.42793083,45.37348557,0.126599327,0.539225589,0.003787879,0.852012882,150.0445251,50.1999054,43.0461998,0.992592593,204.9701538,62.87150192,92.06799316,0.896296296,124.1629257,56.13962173,63.81351852,0.937037037,106.272728,35.55834579,85.04891968,0.966666667,81.86135101,17.8293972,112.4109192,25.71,1.97,10.73,0.93,2.27
264,56,1.608947368,3.513853615,2.911442041,0.753706515,4860.5,0.438244767,72.03340149,26.40327454,54.10192871,0.581481481,65.19779205,19.11400032,29.31905937,0.266666667,91.31531525,31.44689941,29.898983,0.277777778,147.7466888,52.69761276,16.03201866,0.033509003,136.8634491,35.49313354,5.550814152,0.051855512,0.895864442,0,0.159259259,191.3167419,34.11540222,4.752087593,0.685185185,347.6263733,125.5377579,10.6050539,0.881481481,193.0897675,49.199543,16.44936943,0.485185185,174.3473663,74.9076767,17.35694313,0.734259259,99.43785858,24.44566154,70.99897766,32.22,2.37,17.8,1.51,2.44
265,57,1.432743363,3.389909267,2.773534775,0.750833094,3160,0.907795345,58.00604248,23.77366066,123.9568787,0.881481481,55.42312241,16.73073006,54.47804642,0.766666667,104.0536423,40.05161667,68.29021454,0.87037037,108.7959518,27.66281128,77.30677032,0.033333333,96.60679626,24.32382965,10.01433849,0.814814815,0.088888889,0,0.722222222,162.3453522,46.61850357,28.37180519,0.792592593,281.5194702,71.32816315,29.3941021,0.762962963,153.0946808,59.36305618,36.59243393,0.781481481,114.2525635,49.92526245,62.5694313,0.9,69.17912292,16.72712517,113.597496,21.46,1.93,10.99,0.92,2.18
266,58,2.173970694,4.835480572,2.985918164,0.822704464,3944.5,0.951851852,53.1240654,10.60946655,138.8431854,0.970198105,50.24554443,10.40988064,66.76404572,0.903703704,97.52105713,29.84594536,90.50512695,0.914814815,116.0482407,37.39369583,73.9017868,0.093181818,117.1367874,17.0235939,19.21720505,0.683838384,0.189393939,0.003783964,0.762962963,163.8883972,47.86193466,31.18345642,0.344444444,439.4671631,139.3415375,3.473762751,0.637037037,242.5699005,75.40561676,3.642603874,0.796296296,124.5951614,55.78569031,61.92437744,0.941666667,96.5235672,24.17655754,94.89710236,30.76,2.31,17.77,1.3,2.16
267,59,1.390155678,3.563181422,2.731730103,0.802197397,1595.5,0.973905724,49.49365234,14.05445862,142.9028778,0.940740741,45.64226151,13.07483768,67.84179688,0.863191438,76.05283356,22.87716103,105.904808,0.896201142,109.4400558,35.98334885,77.19062042,0.07962963,100.6217651,30.54113007,32.14659119,0.257996633,0.602861953,0.000252525,0.666666667,165.5988312,59.16443253,25.99390602,0.853703704,245.1184692,100.1391373,68.76476288,0.508333333,212.513916,94.22058105,9.594267845,0.750925926,125.2199936,57.83943176,52.6748085,0.925,85.96524811,24.71634865,101.8412399,19.27,1.84,18.17,1.38,1.8
268,60,1.336133618,3.057000435,2.629508257,0.774854183,2097.5,0.967592593,54.67950058,11.84174824,139.3447418,0.956902357,48.49311447,10.43893433,67.44684601,0.959259259,62.64292526,12.73872089,130.348938,0.862198068,126.9861145,28.50874329,62.72323608,0.911111111,61.43969345,16.64573479,124.3999405,0.04537037,0.003703704,-0.003282828,0.583333333,178.9877472,53.08139038,15.4333334,0.864814815,210.8841553,52.2872963,78.56769562,0.023148148,NA,NA,NA,0.57037037,154.4583435,49.6998024,27.06559753,0.9,91.72841644,13.6231699,94.95609283,22.88,1.91,13.47,1.23,2.37
269,61,2.124740908,5.040725128,3.339280128,0.74198395,1316.5,0.80410628,113.2237473,40.52421951,66.33578491,0.896296296,96.9552002,29.01756096,22.54187775,0.482850242,159.6958313,53.44677734,21.64511681,0.066666667,207.0535736,48.2170372,1.607667446,0.008333333,NA,NA,NA,0.088425926,0.756018519,0.043518519,0.283333333,202.3768311,11.59023666,0.958650827,0.158333333,448.4989929,152.6898193,1.38351965,0.408333333,308.0179138,28.01376915,0.107050017,0.15,81.10275269,24.96457481,0.989516735,0.455555556,158.863678,26.56765747,19.82534599,49.13,3.17,25.9,2.03,2.53
270,62,1.700345622,4.089832373,3.324862957,0.709036767,4261,0.988888889,79.628479,23.8103466,115.5698929,0.974235105,66.61467743,18.39693642,50.07712936,0.044444444,185.0862427,126.287323,5.677613258,0.292592593,213.9553223,69.22479248,4.771763325,0,NA,NA,NA,0.014653784,0.804589372,0.154991948,0.325925926,205.0698395,14.34331799,1.101073384,0.974074074,236.6715851,53.44649887,61.70192337,0.308333333,226.8130035,46.05942154,1.737056375,0.063888889,66.97414398,14.88213062,1.330810547,0.837037037,117.5238419,25.84106445,67.22890472,27.91,2.24,16.56,1.36,2.28
